MPO
4
5
[Becky, P], [Mariah, P], [Jonah, G], [Radius, G], [Louis, G]
120000
,1,,,
1,,,,
,,,,1
,,1,,
,1,,,
,1,,,
,,1,,
1,,,,
,,,,1
,,1,,
,1,,,
,,1,,
,,,1,
,,,,1
,1,,,
,,,1,
,,,,1
,,1,,
1,,,,
,1,,,
,,,,1
,1,,,
,,,1,
1,,,,
,,1,,
,,,,1
1,,,,
,,,1,
,1,,,
,,,1,
,,,1,
,1,,,
,,,,1
,,,,1
1,,,,
,,,1,
,1,,,
,,1,,
,,,1,
,,1,,
,,,1,
,1,,,
,,,,1
,1,,,
,1,,,
,,,1,
,,,,1
,,,,1
,,1,,
,1,,,
,1,,,
,,1,,
,1,,,
,,,,1
1,,,,
1,,,,
,,,,1
,,1,,
,1,,,
,,1,,
,,,,1
,1,,,
,,,1,
,,,,1
,,1,,
,,1,,
,,1,,
,,1,,
1,,,,
,,,1,
1,,,,
,,,,1
,,,,1
,1,,,
,1,,,
,,,,1
,,,,1
,,,1,
,,,,1
,,,,1
,,1,,
,,,1,
,,,,1
,,,1,
,,,,1
,,,,1
,1,,,
,,,,1
,,,1,
,1,,,
1,,,,
,,,1,
,,,,1
,1,,,
,1,,,
,,,,1
1,,,,
,,,,1
,,,1,
,,,1,
,,1,,
,,,1,
,,1,,
,1,,,
,,1,,
,,,1,
,,1,,
,,1,,
,1,,,
,,,1,
,1,,,
1,,,,
,,,1,
,,,1,
1,,,,
,,,,1
,1,,,
,1,,,
,,1,,
,,1,,
,,,1,
,,1,,
,,,1,
1,,,,
,,1,,
,,,1,
,,,,1
,,,,1
,,1,,
,,,1,
,1,,,
,1,,,
,,,1,
,1,,,
,,,,1
,,,1,
,,,,1
,,,1,
,,,1,
,,1,,
,,1,,
,,1,,
,1,,,
,,,1,
,1,,,
,1,,,
,1,,,
,,,1,
,,1,,
,1,,,
,1,,,
,1,,,
,,,1,
,,,1,
1,,,,
,,1,,
,,,1,
,1,,,
,,,,1
,,,,1
,,1,,
,,1,,
,1,,,
1,,,,
,1,,,
,,,1,
,,,1,
1,,,,
,1,,,
,1,,,
,,1,,
,,1,,
,1,,,
,,,,1
,,,,1
,,1,,
,,,,1
,,,,1
,,,,1
,1,,,
1,,,,
,1,,,
1,,,,
,1,,,
,,1,,
,,1,,
,,,,1
,,,1,
,,,,1
1,,,,
1,,,,
,,1,,
1,,,,
,,,,1
,1,,,
,,,1,
,,,,1
,,1,,
,,1,,
1,,,,
,,,1,
,,1,,
,,1,,
,1,,,
,,,,1
1,,,,
,1,,,
,,1,,
,,,1,
,,1,,
,1,,,
,,,,1
,,1,,
,,,,1
,,,,1
,,,,1
,1,,,
,,,,1
,,1,,
,1,,,
,,,,1
,1,,,
,1,,,
,,1,,
,,1,,
,,,1,
,,,,1
1,,,,
,,,1,
,,,,1
,1,,,
,,,1,
,,,,1
,,,,1
,,1,,
,,1,,
,1,,,
,,,1,
,,,,1
,,1,,
,,,,1
,,,1,
,,,,1
,,,,1
,,,,1
,,,1,
1,,,,
